1764682238.417145 server started (68603): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1764682238.417196 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:43 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8132
1764682238.417207 using libevent 2.1.12-stable select
1764682238.417220 using utf8proc 2.11.2
1764682238.417228 using ncurses 6.5 20240427
1764682238.441186 args_parse: 31 = new-window -a (type COMMANDS)
1764682238.441189 args_parse: 32 = New At End (type STRING)
1764682238.441192 args_parse: 33 = W (type STRING)
1764682238.441196 args_parse: 34 = new-window (type COMMANDS)
1764682238.441247 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1764682238.441250 args_parse_flags: next -n
1764682238.441253 args_parse_flags: -n
1764682238.441256 args_parse_flags: next MouseDown3Status
1764682238.441259 args_parse: flags end at 2 of 4
1764682238.441261 args_parse: 2 = MouseDown3Status (type STRING)
1764682238.441306 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1764682238.441359 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1764682238.441372 cmdq_get_command: [bind-key/0x1432172b0] group 1042
1764682238.441375 cmdq_append <global>: [bind-key/0x1432172b0]
1764682238.441378 yylex_token: end at WS
1764682238.441381 yylex_token: bind
1764682238.441384 yylex_token: end at WS
1764682238.441387 yylex_token: -n
1764682238.441390 yylex_token: end at WS
1764682238.441393 yylex_token: M-MouseDown3Status
1764682238.441396 yylex_token: end at WS
1764682238.441399 yylex_token: display-menu
1764682238.441402 yylex_token: end at WS
1764682238.441404 yylex_token: -t=
1764682238.441407 yylex_token: end at WS
1764682238.441410 yylex_token: -xW
1764682238.441413 yylex_token: end at WS
1764682238.441415 yylex_token: -yW
1764682238.441418 yylex_token: end at WS
1764682238.441421 yylex_token: -T
1764682238.441425 yylex_token: end at WS
1764682238.441428 yylex_token: #[align=centre]#{window_index}:#{window_name}
1764682238.441433 yylex_token: end at WS
1764682238.441436 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1764682238.441439 yylex_token: end at WS
1764682238.441441 yylex_token: l
1764682238.441444 yylex_token: end at WS
1764682238.441447 yylex_token: swap-window
1764682238.441450 yylex_token: end at }
1764682238.441452 yylex_token: -t:-1
1764682238.441457 yylex_token: end at WS
1764682238.441460 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1764682238.441463 yylex_token: end at WS
1764682238.441465 yylex_token: r
1764682238.441468 yylex_token: end at WS
1764682238.441471 yylex_token: swap-window
1764682238.441474 yylex_token: end at }
1764682238.441476 yylex_token: -t:+1
1764682238.441481 yylex_token: end at WS
1764682238.441483 yylex_token: #{?pane_marked_set,,-}Swap Marked
1764682238.441486 yylex_token: end at WS
1764682238.441488 yylex_token: s
1764682238.441492 yylex_token: end at }
1764682238.441494 yylex_token: swap-window
1764682238.441497 yylex_token: end at WS
1764682238.441500 yylex_token: 
1764682238.441502 yylex_token: end at WS
1764682238.441505 yylex_token: Kill
1764682238.441507 yylex_token: end at WS
1764682238.441510 yylex_token: X
1764682238.441513 yylex_token: end at }
1764682238.441516 yylex_token: kill-window
1764682238.441519 yylex_token: end at WS
1764682238.441521 yylex_token: Respawn
1764682238.441524 yylex_token: end at WS
1764682238.441526 yylex_token: R
1764682238.441530 yylex_token: end at WS
1764682238.441532 yylex_token: respawn-window
1764682238.441535 yylex_token: end at }
1764682238.441537 yylex_token: -k
1764682238.441541 yylex_token: end at WS
1764682238.441544 yylex_token: #{?pane_marked,Unmark,Mark}
1764682238.441547 yylex_token: end at WS
1764682238.441549 yylex_token: m
1764682238.441553 yylex_token: end at WS
1764682238.441555 yylex_token: select-pane
1764682238.441558 yylex_token: end at }
1764682238.441561 yylex_token: -m
1764682238.441564 yylex_token: end at WS
1764682238.441567 yylex_token: Rename
1764682238.441569 yylex_token: end at WS
1764682238.441572 yylex_token: n
1764682238.441575 yylex_token: end at WS
1764682238.441578 yylex_token: command-prompt
1764682238.441589 yylex_token: end at WS
1764682238.441592 yylex_token: -FI
1764682238.441595 yylex_token: end at WS
1764682238.441598 yylex_token: #W
1764682238.441601 yylex_token: end at WS
1764682238.441603 yylex_token: rename-window
1764682238.441606 yylex_token: end at WS
1764682238.441609 yylex_token: -t
1764682238.441612 yylex_token: end at WS
1764682238.441614 yylex_token: #{window_id}
1764682238.441617 yylex_token: end at WS
1764682238.441620 yylex_token: --
1764682238.441623 yylex_token: end at }
1764682238.441625 yylex_token: %%
1764682238.441628 yylex_token: end at WS
1764682238.441631 yylex_token: 
1764682238.441634 yylex_token: end at WS
1764682238.441636 yylex_token: New After
1764682238.441639 yylex_token: end at WS
1764682238.441642 yylex_token: w
1764682238.441645 yylex_token: end at WS
1764682238.441647 yylex_token: new-window
1764682238.441650 yylex_token: end at }
1764682238.441653 yylex_token: -a
1764682238.441656 yylex_token: end at WS
1764682238.441658 yylex_token: New At End
1764682238.441661 yylex_token: end at WS
1764682238.441664 yylex_token: W
1764682238.441667 yylex_token: end at }
1764682238.441669 yylex_token: new-window
1764682238.441674 cmd_parse_build_commands 0:0: bind
1764682238.441676 cmd_parse_build_commands 0:1: -n
1764682238.441679 cmd_parse_build_commands 0:2: M-MouseDown3Status
1764682238.441682 cmd_parse_build_commands 0:3 0:0: display-menu
1764682238.441685 cmd_parse_build_commands 0:3 0:1: -t=
1764682238.441688 cmd_parse_build_commands 0:3 0:2: -xW
1764682238.441690 cmd_parse_build_commands 0:3 0:3: -yW
1764682238.441693 cmd_parse_build_commands 0:3 0:4: -T
1764682238.441696 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1764682238.441699 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1764682238.441702 cmd_parse_build_commands 0:3 0:7: l
1764682238.441705 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1764682238.441707 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1764682238.441711 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1764682238.441713 cmd_parse_build_commands 0:3 0:10: r
1764682238.441716 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1764682238.441719 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1764682238.441722 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1764682238.441724 cmd_parse_build_commands 0:3 0:13: s
1764682238.441727 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1764682238.441730 cmd_parse_build_commands 0:3 0:15: 
1764682238.441733 cmd_parse_build_commands 0:3 0:16: Kill
1764682238.441736 cmd_parse_build_commands 0:3 0:17: X
1764682238.441738 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1764682238.441741 cmd_parse_build_commands 0:3 0:19: Respawn
1764682238.441744 cmd_parse_build_commands 0:3 0:20: R
1764682238.441747 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1764682238.441750 cmd_parse_build_commands 0:3 0:21 0:1: -k
1764682238.441752 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1764682238.441755 cmd_parse_build_commands 0:3 0:23: m
1764682238.441758 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1764682238.441761 cmd_parse_build_commands 0:3 0:24 0:1: -m
1764682238.441764 cmd_parse_build_commands 0:3 0:25: Rename
1764682238.441766 cmd_parse_build_commands 0:3 0:26: n
1764682238.441769 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1764682238.441772 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1764682238.441774 cmd_parse_build_commands 0:3 0:27 0:2: #W
1764682238.441778 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1764682238.441780 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1764682238.441783 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1764682238.441786 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1764682238.441789 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1764682238.441791 cmd_parse_build_commands 0:3 0:28: 
1764682238.441794 cmd_parse_build_commands 0:3 0:29: New After
1764682238.441797 cmd_parse_build_commands 0:3 0:30: w
1764682238.441803 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1764682238.441806 cmd_parse_build_commands 0:3 0:31 0:1: -a
1764682238.441809 cmd_parse_build_commands 0:3 0:32: New At End
1764682238.441811 cmd_parse_build_commands 0:3 0:33: W
1764682238.441814 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1764682238.441818 cmd_parse_build_commands 0:0: display-menu
1764682238.441821 cmd_parse_build_commands 0:1: -t=
1764682238.441824 cmd_parse_build_commands 0:2: -xW
1764682238.441826 cmd_parse_build_commands 0:3: -yW
1764682238.441829 cmd_parse_build_commands 0:4: -T
1764682238.441832 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1764682238.441835 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1764682238.441838 cmd_parse_build_commands 0:7: l
1764682238.441841 cmd_parse_build_commands 0:8 0:0: swap-window
1764682238.441843 cmd_parse_build_commands 0:8 0:1: -t:-1
1764682238.441846 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1764682238.441849 cmd_parse_build_commands 0:10: r
1764682238.441852 cmd_parse_build_commands 0:11 0:0: swap-window
1764682238.441855 cmd_parse_build_commands 0:11 0:1: -t:+1
1764682238.441857 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1764682238.441860 cmd_parse_build_commands 0:13: s
1764682238.441863 cmd_parse_build_commands 0:14 0:0: swap-window
1764682238.441866 cmd_parse_build_commands 0:15: 
1764682238.441868 cmd_parse_build_commands 0:16: Kill
1764682238.441871 cmd_parse_build_commands 0:17: X
1764682238.441874 cmd_parse_build_commands 0:18 0:0: kill-window
1764682238.441876 cmd_parse_build_commands 0:19: Respawn
1764682238.441879 cmd_parse_build_commands 0:20: R
1764682238.441882 cmd_parse_build_commands 0:21 0:0: respawn-window
1764682238.441885 cmd_parse_build_commands 0:21 0:1: -k
1764682238.441888 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1764682238.441890 cmd_parse_build_commands 0:23: m
1764682238.441893 cmd_parse_build_commands 0:24 0:0: select-pane
1764682238.441896 cmd_parse_build_commands 0:24 0:1: -m
1764682238.441898 cmd_parse_build_commands 0:25: Rename
1764682238.441901 cmd_parse_build_commands 0:26: n
1764682238.441904 cmd_parse_build_commands 0:27 0:0: command-prompt
1764682238.441907 cmd_parse_build_commands 0:27 0:1: -FI
1764682238.441909 cmd_parse_build_commands 0:27 0:2: #W
1764682238.441912 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1764682238.441915 cmd_parse_build_commands 0:27 0:3 0:1: -t
1764682238.441918 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1764682238.441921 cmd_parse_build_commands 0:27 0:3 0:3: --
1764682238.441923 cmd_parse_build_commands 0:27 0:3 0:4: %%
1764682238.441926 cmd_parse_build_commands 0:28: 
1764682238.441929 cmd_parse_build_commands 0:29: New After
1764682238.441932 cmd_parse_build_commands 0:30: w
1764682238.441935 cmd_parse_build_commands 0:31 0:0: new-window
1764682238.441937 cmd_parse_build_commands 0:31 0:1: -a
1764682238.441940 cmd_parse_build_commands 0:32: New At End
1764682238.441943 cmd_parse_build_commands 0:33: W
1764682238.441945 cmd_parse_build_commands 0:34 0:0: new-window
1764682238.441950 cmd_parse_build_commands 0:0: swap-window
1764682238.441953 cmd_parse_build_commands 0:1: -t:-1
1764682238.441957 args_parse_flags: next -t:-1
1764682238.441960 args_parse_flag_argument: -t = :-1
1764682238.441963 args_parse: flags end at 2 of 2
1764682238.441968 cmd_parse_build_commands: swap-window -t :-1
1764682238.441971 cmd_parse_build_commands 0:0: swap-window
1764682238.441974 cmd_parse_build_commands 0:1: -t:+1
1764682238.441978 args_parse_flags: next -t:+1
1764682238.441981 args_parse_flag_argument: -t = :+1
1764682238.441983 args_parse: flags end at 2 of 2
1764682238.441988 cmd_parse_build_commands: swap-window -t :+1
1764682238.441992 cmd_parse_build_commands 0:0: swap-window
1764682238.441995 args_parse: flags end at 1 of 1
1764682238.441999 cmd_parse_build_commands: swap-window
1764682238.442003 cmd_parse_build_commands 0:0: kill-window
1764682238.442006 args_parse: flags end at 1 of 1
1764682238.442013 cmd_parse_build_commands: kill-window
1764682238.442017 cmd_parse_build_commands 0:0: respawn-window
1764682238.442020 cmd_parse_build_commands 0:1: -k
1764682238.442023 args_parse_flags: next -k
1764682238.442026 args_parse_flags: -k
1764682238.442029 args_parse: flags end at 2 of 2
1764682238.442032 cmd_parse_build_commands: respawn-window -k
1764682238.442041 cmd_parse_build_commands 0:0: select-pane
1764682238.442044 cmd_parse_build_commands 0:1: -m
1764682238.442048 args_parse_flags: next -m
1764682238.442050 args_parse_flags: -m
1764682238.442053 args_parse: flags end at 2 of 2
1764682238.442057 cmd_parse_build_commands: select-pane -m
1764682238.442061 cmd_parse_build_commands 0:0: command-prompt
1764682238.442063 cmd_parse_build_commands 0:1: -FI
1764682238.442066 cmd_parse_build_commands 0:2: #W
1764682238.442069 cmd_parse_build_commands 0:3 0:0: rename-window
1764682238.442072 cmd_parse_build_commands 0:3 0:1: -t
1764682238.442075 cmd_parse_build_commands 0:3 0:2: #{window_id}
1764682238.442077 cmd_parse_build_commands 0:3 0:3: --
1764682238.442080 cmd_parse_build_commands 0:3 0:4: %%
1764682238.442083 cmd_parse_build_commands 0:0: rename-window
1764682238.442086 cmd_parse_build_commands 0:1: -t
1764682238.442089 cmd_parse_build_commands 0:2: #{window_id}
1764682238.442091 cmd_parse_build_commands 0:3: --
1764682238.442094 cmd_parse_build_commands 0:4: %%
1764682238.442098 args_parse_flags: next -t
1764682238.442101 args_parse_flag_argument: -t = #{window_id}
1764682238.442104 args_parse_flags: next --
1764682238.442106 args_parse: flags end at 4 of 5
1764682238.442109 args_parse: 4 = %% (type STRING)
1764682238.442115 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1764682238.442118 args_parse_flags: next -FI
1764682238.442121 args_parse_flags: -F
1764682238.442124 args_parse_flag_argument: -I = #W
1764682238.442127 args_parse: flags end at 3 of 4
1764682238.442132 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1764682238.442141 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1764682238.442145 cmd_parse_build_commands 0:0: new-window
1764682238.442147 cmd_parse_build_commands 0:1: -a
1764682238.442151 args_parse_flags: next -a
1764682238.442154 args_parse_flags: -a
1764682238.442156 args_parse: flags end at 2 of 2
1764682238.442161 cmd_parse_build_commands: new-window -a
1764682238.442164 cmd_parse_build_commands 0:0: new-window
1764682238.442167 args_parse: flags end at 1 of 1
1764682238.442171 cmd_parse_build_commands: new-window
1764682238.442174 args_parse_flags: next -t=
1764682238.442177 args_parse_flag_argument: -t = =
1764682238.442179 args_parse_flags: next -xW
1764682238.442182 args_parse_flag_argument: -x = W
1764682238.442185 args_parse_flags: next -yW
1764682238.442188 args_parse_flag_argument: -y = W
1764682238.442190 args_parse_flags: next -T
1764682238.442193 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1764682238.442196 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1764682238.442199 args_parse: flags end at 6 of 35
1764682238.442202 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1764682238.442205 args_parse: 7 = l (type STRING)
1764682238.442209 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1764682238.442213 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1764682238.442216 args_parse: 10 = r (type STRING)
1764682238.442220 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1764682238.442224 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1764682238.442227 args_parse: 13 = s (type STRING)
1764682238.442230 args_parse: 14 = swap-window (type COMMANDS)
1764682238.442233 args_parse: 15 =  (type STRING)
1764682238.442236 args_parse: 16 = Kill (type STRING)
1764682238.442239 args_parse: 17 = X (type STRING)
1764682238.442242 args_parse: 18 = kill-window (type COMMANDS)
1764682238.442245 args_parse: 19 = Respawn (type STRING)
1764682238.442248 args_parse: 20 = R (type STRING)
1764682238.442256 args_parse: 21 = respawn-window -k (type COMMANDS)
1764682238.442259 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1764682238.442262 args_parse: 23 = m (type STRING)
1764682238.442266 args_parse: 24 = select-pane -m (type COMMANDS)
1764682238.442269 args_parse: 25 = Rename (type STRING)
1764682238.442272 args_parse: 26 = n (type STRING)
1764682238.442280 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1764682238.442283 args_parse: 28 =  (type STRING)
1764682238.442286 args_parse: 29 = New After (type STRING)
1764682238.442289 args_parse: 30 = w (type STRING)
1764682238.442293 args_parse: 31 = new-window -a (type COMMANDS)
1764682238.442296 args_parse: 32 = New At End (type STRING)
1764682238.442299 args_parse: 33 = W (type STRING)
1764682238.442303 args_parse: 34 = new-window (type COMMANDS)
1764682238.442353 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1764682238.442356 args_parse_flags: next -n
1764682238.442359 args_parse_flags: -n
1764682238.442362 args_parse_flags: next M-MouseDown3Status
1764682238.442365 args_parse: flags end at 2 of 4
1764682238.442368 args_parse: 2 = M-MouseDown3Status (type STRING)
1764682238.442411 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1764682238.442458 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1764682238.442472 cmdq_get_command: [bind-key/0x143218770] group 1090
1764682238.442475 cmdq_append <global>: [bind-key/0x143218770]
1764682238.442478 yylex_token: end at WS
1764682238.442481 yylex_token: bind
1764682238.442484 yylex_token: end at WS
1764682238.442486 yylex_token: -n
1764682238.442489 yylex_token: end at WS
1764682238.442492 yylex_token: MouseDown3Pane
1764682238.442495 yylex_token: end at WS
1764682238.442497 yylex_token: if
1764682238.442500 yylex_token: end at WS
1764682238.442503 yylex_token: -Ft=
1764682238.442510 yylex_token: end at WS
1764682238.442513 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1764682238.442517 yylex_token: end at WS
1764682238.442519 yylex_token: select-pane
1764682238.442522 yylex_token: end at ;
1764682238.442524 yylex_token: -t=
1764682238.442527 yylex_token: end at WS
1764682238.442530 yylex_token: send
1764682238.442533 yylex_token: end at WS
1764682238.442535 yylex_token: -M
1764682238.442539 yylex_token: end at WS
1764682238.442541 yylex_token: display-menu
1764682238.442544 yylex_token: end at WS
1764682238.442546 yylex_token: -t=
1764682238.442549 yylex_token: end at WS
1764682238.442558 yylex_token: -xM
1764682238.442561 yylex_token: end at WS
1764682238.442563 yylex_token: -yM
1764682238.442566 yylex_token: end at WS
1764682238.442569 yylex_token: -T
1764682238.442573 yylex_token: end at WS
1764682238.442576 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1764682238.442581 yylex_token: end at WS
1764682238.442584 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1764682238.442587 yylex_token: end at WS
1764682238.442589 yylex_token: <
1764682238.442592 yylex_token: end at WS
1764682238.442594 yylex_token: send
1764682238.442597 yylex_token: end at WS
1764682238.442599 yylex_token: -X
1764682238.442603 yylex_token: end at }
1764682238.442605 yylex_token: history-top
1764682238.442611 yylex_token: end at WS
1764682238.442614 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1764682238.442617 yylex_token: end at WS
1764682238.442619 yylex_token: >
1764682238.442622 yylex_token: end at WS
1764682238.442624 yylex_token: send
1764682238.442627 yylex_token: end at WS
1764682238.442629 yylex_token: -X
1764682238.442633 yylex_token: end at }
1764682238.442635 yylex_token: history-bottom
1764682238.442638 yylex_token: end at WS
1764682238.442641 yylex_token: 
1764682238.442646 yylex_token: end at WS
1764682238.442649 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1764682238.442652 yylex_token: end at WS
1764682238.442654 yylex_token: C-r
1764682238.442657 yylex_token: end at WS
1764682238.442660 yylex_token: if
1764682238.442662 yylex_token: end at WS
1764682238.442665 yylex_token: -F
1764682238.442669 yylex_token: end at WS
1764682238.442672 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1764682238.442676 yylex_token: end at ;
1764682238.442678 yylex_token: copy-mode -t=
1764682238.442682 yylex_token: end at WS
1764682238.442684 yylex_token: send
1764682238.442687 yylex_token: end at WS
1764682238.442689 yylex_token: -Xt=
1764682238.442693 yylex_token: end at WS
1764682238.442695 yylex_token: search-backward
1764682238.442698 yylex_token: end at WS
1764682238.442701 yylex_token: --
1764682238.442704 yylex_token: end at }
1764682238.442707 yylex_token: #{q:mouse_word}
1764682238.442713 yylex_token: end at WS
1764682238.442715 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1764682238.442718 yylex_token: end at WS
1764682238.442721 yylex_token: C-y
1764682238.442724 yylex_token: end at WS
1764682238.442726 yylex_token: copy-mode
1764682238.442729 yylex_token: end at ;
1764682238.442732 yylex_token: -q
1764682238.442735 yylex_token: end at WS
1764682238.442737 yylex_token: send-keys
1764682238.442740 yylex_token: end at WS
1764682238.442743 yylex_token: -l
1764682238.442745 yylex_token: end at WS
1764682238.442748 yylex_token: --
1764682238.442751 yylex_token: end at }
1764682238.442754 yylex_token: #{q:mouse_word}
1764682238.442760 yylex_token: end at WS
1764682238.442762 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1764682238.442765 yylex_token: end at WS
1764682238.442768 yylex_token: c
1764682238.442771 yylex_token: end at WS
1764682238.442773 yylex_token: copy-mode
1764682238.442776 yylex_token: end at ;
1764682238.442778 yylex_token: -q
1764682238.442782 yylex_token: end at WS
1764682238.442784 yylex_token: set-buffer
1764682238.442787 yylex_token: end at WS
1764682238.442790 yylex_token: --
1764682238.442793 yylex_token: end at }
1764682238.442796 yylex_token: #{q:mouse_word}
1764682238.442800 yylex_token: end at WS
1764682238.442803 yylex_token: #{?mouse_line,Copy Line,}
1764682238.442806 yylex_token: end at WS
1764682238.442808 yylex_token: l
1764682238.442811 yylex_token: end at WS
1764682238.442814 yylex_token: copy-mode
1764682238.442816 yylex_token: end at ;
1764682238.442819 yylex_token: -q
1764682238.442823 yylex_token: end at WS
1764682238.442825 yylex_token: set-buffer
1764682238.442828 yylex_token: end at WS
1764682238.442831 yylex_token: --
1764682238.442834 yylex_token: end at }
1764682238.442837 yylex_token: #{q:mouse_line}
1764682238.442840 yylex_token: end at WS
1764682238.442846 yylex_token: 
1764682238.442852 yylex_token: end at WS
1764682238.442855 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1764682238.442857 yylex_token: end at WS
1764682238.442860 yylex_token: C-h
1764682238.442863 yylex_token: end at WS
1764682238.442866 yylex_token: copy-mode
1764682238.442868 yylex_token: end at ;
1764682238.442871 yylex_token: -q
1764682238.442874 yylex_token: end at WS
1764682238.442877 yylex_token: send-keys
1764682238.442880 yylex_token: end at WS
1764682238.442882 yylex_token: -l
1764682238.442885 yylex_token: end at WS
1764682238.442887 yylex_token: --
1764682238.442891 yylex_token: end at }
1764682238.442894 yylex_token: #{q:mouse_hyperlink}
1764682238.442900 yylex_token: end at WS
1764682238.442903 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1764682238.442906 yylex_token: end at WS
1764682238.442909 yylex_token: h
1764682238.442912 yylex_token: end at WS
1764682238.442914 yylex_token: copy-mode
1764682238.442917 yylex_token: end at ;
1764682238.442920 yylex_token: -q
1764682238.442924 yylex_token: end at WS
1764682238.442926 yylex_token: set-buffer
1764682238.442929 yylex_token: end at WS
1764682238.442931 yylex_token: --
1764682238.442934 yylex_token: end at }
1764682238.442937 yylex_token: #{q:mouse_hyperlink}
1764682238.442939 yylex_token: end at WS
1764682238.442942 yylex_token: 
1764682238.442945 yylex_token: end at WS
1764682238.442947 yylex_token: Horizontal Split
1764682238.442949 yylex_token: end at WS
1764682238.442952 yylex_token: h
1764682238.442954 yylex_token: end at WS
1764682238.442957 yylex_token: split-window
1764682238.442959 yylex_token: end at }
1764682238.442961 yylex_token: -h
1764682238.442965 yylex_token: end at WS
1764682238.442967 yylex_token: Vertical Split
1764682238.442969 yylex_token: end at WS
1764682238.442971 yylex_token: v
